Agency,Date,Id,Title,Url,Home_url,File
Home Affairs,2023-03-17,FA 23/01/00748,"Number of Employer Nomination Scheme Temporary Residence Transition (subclass 186) primary visa applications lodged, granted and on hand for Mechanical Engineer ANZSCO 233512 by location, from 1 October 2022 to 31 December 2022",/foi/files/2023/fa-230100748-document-released.PDF,,https://www.homeaffairs.gov.au/foi/files/2023/fa-230100748-document-released.PDF
Home Affairs,2023-03-17,FA 23/03/00002,"Number of Skilled-Recognised Graduate (subclass 476) primary visa applications on hand as at 28 February 2023, and number of these lodged on or before 31 December 2019 ",/foi/files/2023/fa-230300002-document-released.PDF,,https://www.homeaffairs.gov.au/foi/files/2023/fa-230300002-document-released.PDF
Home Affairs,2023-03-17,FA 23/01/01427,"Number of Skilled Independent (subclass 189), Skilled Nominated (subclass 190), Skilled Regional (Provisional)(subclass 489), Skilled Work Regional (Provisional)(subclass 491) and Skilled Regional (subclass 887) visa applications lodged, granted, refused and on hand monthly from July 2022 to January 2023",/foi/files/2023/fa-230101427-document-released.PDF,,https://www.homeaffairs.gov.au/foi/files/2023/fa-230101427-document-released.PDF
Treasury,2023-03-17,3259,Minister for Financial Services’ Question Time Briefing pack,/the-department/accountability-reporting/foi/3259,https://treasury.gov.au/the-department/accountability-reporting/foi-disclosure-log,https://treasury.gov.au/the-department/accountability-reporting/foi/3259
Treasury,2023-03-17,3256,Deductible gift recipient status of Make A Mark Australia,/the-department/accountability-reporting/foi/3256,https://treasury.gov.au/the-department/accountability-reporting/foi-disclosure-log,https://treasury.gov.au/the-department/accountability-reporting/foi/3256
Environment,2023-03-15,72878,Visitations to Uluru National Park.,/sites/default/files/documents/72878.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72878.pdf
Environment,2023-03-15,72894,Briefing pack for 2023 February Supplementary Budget Estimates.,/sites/default/files/documents/72894.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72894.pdf
Treasury,2023-03-10,3269,PwC tax leak,/the-department/accountability-reporting/foi/3269,https://treasury.gov.au/the-department/accountability-reporting/foi-disclosure-log,https://treasury.gov.au/the-department/accountability-reporting/foi/3269
Treasury,2023-03-10,3269,PwC tax leak,/the-department/accountability-reporting/foi/3269,https://treasury.gov.au/the-department/accountability-reporting/foi-disclosure-log,https://treasury.gov.au/the-department/accountability-reporting/foi/3269
Environment,2023-03-08,72937,Draft documents regarding the Independent Review of Australian Carbon Credit Units.,/sites/default/files/documents/72937.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72937.pdf
Environment,2023-03-08,72335,Correspondence regarding the Review of Four Methods for Generating Australian Carbon Credit Units report.,/sites/default/files/documents/72335_0.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72335_0.pdf
Environment,2023-03-06,72795,Documents which present the historical costs and benefits for the GEMS program by appliance and product.,/sites/default/files/documents/72795.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72795.pdf
Environment,2023-03-03,72775,Documents regarding applications/exemptions under the Commercial Building Disclosure Program.,/sites/default/files/documents/72775.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72775.pdf
Finance,2023-03-02,FOI 22-23/10,Australia Post’s remuneration arrangements,/about-us/freedom-information/disclosure-log/foi-foi-22-23/10,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22-23/10
Treasury,2023-02-24,3237,Assistant Treasurer meeting with Binance,/the-department/accountability-reporting/foi/3237,https://treasury.gov.au/the-department/accountability-reporting/foi-disclosure-log,https://treasury.gov.au/the-department/accountability-reporting/foi/3237
Finance,2023-02-22,FOI 22-23/06,Greens MPs Electric Private Plated Vehicles,/about-us/freedom-information/disclosure-log/foi-foi-22-23/06,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22-23/06
Environment,2023-02-17,72658,Decision brief regarding Murray-Darling Fractured Rock Water Resource Plan.,/sites/default/files/documents/72658.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72658.pdf
Treasury,2023-02-17,3215,Crypto asset secondary service providers: Licensing and custody requirements,/the-department/accountability-reporting/foi/3215,https://treasury.gov.au/the-department/accountability-reporting/foi-disclosure-log,https://treasury.gov.au/the-department/accountability-reporting/foi/3215
Treasury,2023-02-17,3236,"Review of Your Future, Your Super Measures",/the-department/accountability-reporting/foi/3236,,https://treasury.gov.au/the-department/accountability-reporting/foi/3236
Finance,2023-02-17,FOI 22/124,Question Time Briefs (25 to 27 October 2022),/about-us/freedom-information/disclosure-log/foi-foi-22/124,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22/124
Environment,2023-02-16,72268,Documents regarding climate risk assessment.,/sites/default/files/documents/72268.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72268.pdf
Finance,2023-02-13,FOI 22-23/002,Staffing numbers,/about-us/freedom-information/disclosure-log/foi-foi-22-23/002,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22-23/002
Finance,2023-02-13,FOI 22/121,Future Fund Board of Guardians – Maximum annual distribution for financial year 2023-24,/about-us/freedom-information/disclosure-log/foi-foi-22/121,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22/121
Finance,2023-02-09,FOI 22/119,Act of Grace guidance materials,/about-us/freedom-information/disclosure-log/foi-foi-22/119,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22/119
Environment,2023-02-08,72355,Risk assessment/risk register for the Climate Active certification of British American Tobacco.,/sites/default/files/documents/72355.pdf,,https://www.dcceew.gov.au//sites/default/files/documents/72355.pdf
Finance,2023-01-20,FOI 22/112,Member for Scullin COMCAR trips (1 Sep - 20 Nov 2022),/about-us/freedom-information/disclosure-log/foi-foi-22/112,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22/112
Finance,2023-01-20,FOI 22/103,Minister for Finance’s Senate Estimates briefs (Nov 2022),/about-us/freedom-information/disclosure-log/foi-foi-22/103,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22/103
Finance,2023-01-13,FOI 22/99,Safe and effective pesticides and veterinary medicines,/about-us/freedom-information/disclosure-log/foi-foi-22/99,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22/99
Finance,2023-01-11,FOI 22/104,PEMS Steering Committee Meeting Minutes 2022,/about-us/freedom-information/disclosure-log/foi-foi-22/104,https://www.finance.gov.au/about-us/freedom-information/disclosure-log,https://www.finance.gov.au//about-us/freedom-information/disclosure-log/foi-foi-22/104
